Place of Origin,TOTAL STUDENTS,Business/ Mgmt.,Education,Engineering*,Fine/ Applied Arts,Health Professions*,Humanities,Intensive English,Math/ Computer Science*,Physical/ Life Sciences*,Social Sciences,Other Fields of Study,Undeclared
Bangladesh,"8,838",6.9,0.6,41.1,1.8,2.8,1.0,0.1,19.1,15.2,5.7,4.7,1.2
Brazil,"16,671",22.7,1.6,13.1,7.8,3.0,3.0,4.1,6.3,8.9,9.2,18.4,1.9
Canada,"25,992",15.6,2.3,9.0,9.1,15.6,3.3,0.1,6.6,9.4,10.6,15.3,3.1
China,"372,532",17.2,1.7,17.5,6.7,1.4,1.1,1.8,21.2,8.4,9.0,11.0,2.9
Colombia,"7,787",17.6,1.8,14.7,9.4,2.3,4.4,4.7,5.1,10.3,10.3,18.1,1.2
France,"8,471",23.5,0.8,14.2,5.5,1.2,5.7,0.6,7.6,5.6,10.2,21.0,4.1
Germany,"9,242",24.6,1.2,8.8,4.0,1.9,4.9,0.3,5.2,7.4,11.7,24.1,6.1
Hong Kong,-,-,-,-,-,-,-,-,-,-,-,-,-
India,"193,124",10.9,0.7,34.2,2.0,3.1,0.4,0.2,34.7,6.3,2.7,4.0,0.8
Indonesia,"8,300",23.4,1.6,15.1,6.6,1.8,1.4,0.7,18.9,6.8,8.4,11.5,3.7
Iran,"11,451",4.4,1.7,51.2,4.4,2.2,1.1,0.1,14.5,12.2,4.1,3.6,0.5
Japan,"17,554",17.0,1.8,6.2,7.3,2.6,4.0,14.1,5.2,4.4,10.5,22.5,4.5
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,"8,375",12.6,2.7,59.8,1.7,2.1,0.9,5.6,1.6,4.1,3.9,4.0,0.9
Malaysia,"6,910",16.8,1.4,25.7,5.2,2.4,1.3,0.3,12.7,12.3,9.8,9.9,2.3
Mexico,"14,348",18.2,2.4,16.9,8.9,3.6,3.6,1.6,6.1,9.9,10.2,16.3,2.2
Nepal,"12,730",15.5,0.6,18.8,1.6,5.3,0.6,0.0,25.6,20.2,4.5,6.0,1.3
Nigeria,"13,762",12.8,1.9,21.6,2.5,13.3,2.3,0.2,12.7,14.6,7.0,10.1,1.1
Pakistan,"7,939",15.7,1.3,24.3,2.4,3.3,2.0,1.2,17.5,9.2,10.5,9.8,2.9
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,"30,957",15.5,3.8,29.5,2.3,8.8,1.5,9.7,9.5,6.0,4.4,7.9,1.1
South Korea,"49,809",13.0,2.3,14.5,11.8,5.3,2.8,2.1,12.3,7.8,11.3,14.2,2.7
Spain,"7,954",23.3,1.5,15.8,5.8,1.9,7.5,0.8,5.9,6.9,8.4,17.8,4.3
Taiwan,"23,724",18.0,1.9,18.1,10.1,3.7,1.3,2.5,14.4,9.4,6.3,11.7,2.7
Thailand,-,-,-,-,-,-,-,-,-,-,-,-,-
Turkey,"9,481",11.5,2.9,27.6,6.8,1.1,2.7,2.2,12.5,8.2,14.0,8.6,2.0
United Kingdom,"10,756",16.7,2.3,5.6,7.3,2.9,6.1,0.2,5.5,8.5,15.6,23.3,5.9
Venezuela,"6,855",25.1,1.6,18.4,8.3,3.0,3.2,6.7,5.4,5.0,6.3,16.0,1.0
Vietnam,"23,777",28.8,1.1,11.5,4.9,5.0,1.5,2.4,15.6,9.7,5.4,10.4,3.6
